Timestamp(s),PIR_State,mmWave_State
0.02,configsip: 0, SPIWP:0xee
0.04,mode:DIO, clock div:1
0.06,load:0x3fff0030,len:4876
0.08,load:0x40078000,len:16560
0.09,load:0x40080400,len:3500
0.33,1,0
0.53,1,0
0.73,1,1
0.93,1,1
1.14,1,1
1.34,1,1
1.54,1,1
1.74,1,1
1.94,1,1
2.13,1,1
2.33,1,1
2.53,1,1
2.73,1,1
2.94,1,1
3.14,1,1
3.33,1,1
3.53,1,1
3.73,1,1
3.93,1,1
4.13,1,1
4.34,1,1
4.53,1,1
4.74,1,1
4.93,1,1
5.14,1,1
5.34,1,1
5.54,1,1
5.74,1,1
5.94,1,1
6.13,1,1
6.33,1,1
6.53,1,1
6.73,1,1
6.94,1,1
7.14,1,1
7.34,1,1
7.54,1,1
7.74,1,1
7.93,1,1
8.14,1,1
8.34,1,1
8.53,1,1
8.73,1,1
8.93,1,1
9.13,1,1
9.34,1,1
9.54,1,1
9.74,1,1
9.94,1,1
10.14,1,1
10.33,1,1
10.53,1,1
10.73,1,1
10.93,1,1
11.13,1,1
11.33,1,1
11.53,1,1
11.73,1,1
11.93,1,1
12.13,1,1
12.33,1,1
12.53,1,1
12.73,1,1
12.93,1,1
13.13,1,1
13.33,1,1
13.53,1,1
13.73,1,1
13.94,1,1
14.14,1,1
14.34,1,1
14.54,1,1
14.74,1,1
14.94,1,1
15.14,1,1
15.34,1,1
15.53,1,1
15.73,1,1
15.93,1,1
16.13,1,1
16.33,1,1 - OUT
16.53,1,1
16.73,1,1
16.93,1,1
17.14,1,1
17.34,1,1
17.54,1,1
17.74,1,1
17.94,1,1
18.13,1,1
18.33,1,1
18.54,1,1
18.73,1,1
18.93,1,1
19.14,1,1
19.34,1,1
19.54,1,1
19.74,1,1
19.94,1,1
20.14,1,1
20.34,1,1
20.54,1,1
20.74,1,1
20.93,1,1
21.13,1,1
21.33,1,1
21.53,1,1
21.74,1,1
21.93,1,1
22.14,1,1
22.33,1,1
22.53,1,1
22.73,1,1
22.94,1,1
23.13,1,1
23.34,1,1
