Timestamp(s),Radar_State,Mic_Trigger,Fused_System_State
63.22,1,0,1
63.42,1,0,1
63.63,1,0,1
63.83,1,0,1
64.03,1,0,1
64.23,1,0,1
64.42,1,0,1
64.63,1,0,1
64.82,1,0,1
65.02,1,0,1
65.22,1,0,1
65.42,1,0,1
65.62,1,1,1
65.82,1,0,1
66.02,1,0,1
66.22,1,0,1
66.42,1,0,1
66.63,1,0,1
66.83,1,0,1
67.03,1,1,1
67.22,1,1,1
67.42,1,1,1
67.62,1,1,1
67.83,1,0,1
68.03,1,0,1
68.23,1,0,1
68.42,1,1,1
68.62,1,0,1
68.82,1,0,1
69.03,1,0,1
69.22,1,0,1
69.42,1,0,1
69.62,1,0,1
69.82,1,0,1
70.03,1,1,1
70.22,1,0,1
70.42,1,1,1
70.62,1,0,1
70.82,1,0,1
71.02,1,0,1
71.23,1,0,1
71.42,1,0,1
71.62,1,1,1
71.82,1,0,1
72.02,1,0,1
72.22,1,1,1
72.42,1,0,1
72.62,1,0,1
72.82,1,0,1
73.02,1,1,1
73.22,1,0,1
73.42,1,1,1
73.63,1,0,1
73.82,1,0,1
74.02,1,0,1
74.23,1,1,1
74.43,1,0,1
74.62,1,1,1
74.82,1,1,1
75.02,1,1,1
75.22,1,1,1
75.42,1,0,1
75.62,1,1,1
75.82,1,0,1
76.03,1,0,1
76.23,1,0,1
76.42,1,0,1
76.62,1,0,1
76.82,1,0,1
77.02,1,0,1
77.22,1,0,1
77.42,1,0,1
77.62,1,1,1
77.82,1,0,1
78.02,1,0,1
78.23,1,0,1
78.43,1,0,1
78.62,1,0,1
78.82,1,0,1
79.02,1,0,1
79.22,1,0,1
79.42,1,0,1
79.62,1,0,1
79.82,1,0,1
80.02,1,0,1
80.22,1,0,1
80.42,1,0,1
80.62,1,0,1
80.82,1,1,1
81.02,1,1,1
81.22,1,1,1
81.42,1,1,1
81.62,1,0,1
81.82,1,1,1
82.02,1,1,1
82.22,1,0,1
82.42,1,1,1
82.63,1,1,1
82.83,1,0,1
83.02,1,0,1
83.22,1,0,1
83.42,1,1,1
83.62,1,1,1
83.82,1,1,1
84.02,1,1,1
84.22,1,1,1
84.42,1,0,1
84.62,1,1,1
84.82,1,0,1
85.02,1,0,1
85.22,1,0,1
85.42,1,1,1
85.62,1,0,1
85.82,1,1,1
86.02,1,0,1
86.22,1,0,1
86.42,1,0,1
86.62,1,0,1
86.82,1,1,1
87.03,1,0,1
87.22,1,1,1
87.43,1,0,1
87.62,1,0,1
87.82,1,0,1
88.02,1,0,1
88.22,1,0,1
88.42,1,0,1
88.62,1,0,1
88.82,1,0,1
89.03,1,0,1
89.22,1,0,1
89.42,1,0,1
89.62,1,0,1
89.82,1,0,1
90.02,1,0,1
90.22,1,0,1
90.42,1,0,1
90.62,1,0,1
90.82,1,0,1
91.02,1,0,1
91.22,1,0,1
91.43,1,0,1
91.62,1,1,1
91.82,1,1,1
92.02,1,1,1
92.22,1,1,1
92.42,1,1,1
92.63,1,1,1
92.83,1,1,1
93.02,1,0,1
93.22,1,0,1
93.42,1,0,1
93.62,1,0,1
93.82,1,0,1
94.02,1,0,1
94.23,1,0,1
94.43,1,0,1
94.63,1,0,1
94.83,1,0,1
95.03,1,0,1
95.22,1,0,1
95.42,1,0,1
95.62,1,1,1
95.82,1,0,1
96.02,1,0,1
96.22,1,0,1
96.43,1,1,1
96.62,1,1,1
96.82,1,1,1
97.02,1,1,1
97.22,1,1,1
97.42,1,0,1
97.62,1,0,1
97.82,1,1,1
98.02,1,0,1
98.22,1,1,1
98.42,1,0,1
98.62,1,1,1
98.83,1,1,1
99.02,1,0,1
99.22,1,1,1
99.42,1,0,1
99.62,1,1,1
99.82,1,0,1
100.02,1,0,1
100.22,1,0,1
100.42,1,0,1
100.63,1,0,1
100.83,1,0,1
101.03,1,0,1
101.22,1,0,1
101.42,1,0,1
101.62,1,0,1
101.82,1,0,1
102.02,1,0,1
102.22,1,0,1
102.42,1,0,1
102.62,1,1,1
102.82,1,0,1
103.02,1,0,1
103.22,1,1,1
103.42,1,0,1
103.62,1,0,1
103.82,1,0,1
104.02,1,0,1
104.22,1,0,1
104.42,1,0,1
104.62,1,0,1
104.82,1,0,1
105.02,1,0,1
105.23,1,0,1
105.42,1,0,1
105.62,1,0,1
105.83,1,0,1
106.02,1,0,1
106.23,1,0,1
106.42,1,0,1
106.62,1,0,1
106.82,1,0,1
107.03,1,0,1
107.23,1,0,1
107.42,1,0,1
107.62,1,0,1
107.82,1,1,1
108.02,1,1,1
108.22,1,0,1
108.43,1,0,1
108.62,1,0,1
108.82,1,0,1
109.02,1,0,1
109.22,1,0,1
109.43,1,0,1
109.62,1,0,1
109.82,1,1,1
110.02,1,0,1
110.22,1,0,1
110.43,1,0,1
110.62,1,0,1
110.82,1,0,1
111.02,1,0,1
111.22,1,0,1
111.42,1,0,1
111.62,1,0,1
111.82,1,0,1
112.02,1,0,1
112.22,1,0,1
112.42,1,0,1
112.62,1,0,1
112.82,1,0,1
113.02,1,0,1
113.22,1,0,1
113.42,1,0,1
113.62,1,0,1
113.82,1,0,1
114.02,1,0,1
114.22,1,0,1
114.42,1,0,1
114.62,1,0,1
114.82,1,0,1
115.02,1,0,1
115.23,1,0,1
115.43,1,0,1
115.62,1,0,1
115.82,1,0,1
116.02,1,0,1
116.22,1,0,1
116.42,1,1,1
116.62,1,0,1
116.82,1,0,1
117.02,1,0,1
117.22,1,0,1
117.42,1,0,1
117.62,1,0,1
117.82,1,0,1
118.02,1,0,1
118.22,1,0,1
118.42,1,0,1
118.63,1,0,1
118.82,1,0,1
119.02,1,0,1
119.22,1,0,1
119.42,1,1,1
119.62,1,0,1
119.82,1,0,1
120.02,1,0,1
120.22,1,0,1
120.42,1,0,1
120.62,1,0,1
120.82,1,0,1
121.02,1,0,1
121.22,1,0,1
121.42,1,0,1
121.62,1,0,1
121.82,1,1,1
122.02,1,0,1
122.22,1,0,1
122.42,1,0,1
122.62,1,0,1
122.82,1,0,1
123.02,1,0,1
123.22,1,0,1
123.42,1,0,1
123.62,1,0,1
123.82,1,0,1
124.02,1,0,1
124.22,1,0,1
124.42,1,0,1
124.62,1,0,1
124.82,1,0,1
125.02,1,0,1
125.22,1,0,1
125.42,1,0,1
125.62,1,0,1
125.82,1,0,1
126.02,1,0,1
126.22,1,0,1
126.42,1,0,1
126.62,1,0,1
126.82,1,0,1
